Timestamp,Buy_Price,Sell_Price
177427371.1642,230.6,18.3
177427373.1642,230.6,18.3
177427375.1642,230.6,18.3
177427377.1642,230.6,18.3
177427379.1642,230.6,18.3
177427381.1642,230.6,18.3
177427383.1642,230.6,18.3
177427385.1642,230.6,18.3
177427387.1642,230.6,18.3
177427389.1642,230.6,18.3
177427391.1642,230.6,18.3
177427393.1642,230.6,18.3
177427395.1642,230.6,18.3
177427397.1642,230.6,18.3
177427399.1642,230.6,18.3
177427401.1642,230.6,18.3
177427403.1642,230.6,18.3
177427405.1642,230.6,18.3
177427407.1642,230.6,18.3
177427409.1642,230.6,18.3
177427411.1642,230.6,18.3
177427413.1642,230.6,18.3
177427415.1642,230.6,18.3
177427417.1642,230.6,18.3
177427419.1642,230.6,18.3
177427421.1642,230.6,18.3
177427423.1642,230.6,18.3
177427425.1642,230.6,18.3
177427427.1642,230.6,18.3
177427429.1642,230.6,18.3
177427431.1642,230.6,18.3
177427433.1642,230.6,18.3
177427435.1642,230.6,18.3
177427437.1642,230.6,18.3
177427439.1642,230.6,18.3
177427441.1642,230.6,18.3
177427443.1642,230.6,18.3
177427445.1642,230.6,18.3
177427447.1642,230.6,18.3
177427449.1642,230.6,18.3
177427451.1642,230.6,18.3
177427453.1642,230.6,18.3
177427455.1642,230.5,18.3
177427457.1642,230.5,18.3
177427459.1642,230.5,18.3
177427461.1642,230.5,18.3
177427463.1642,230.5,18.3
177427465.1642,230.5,18.3
177427467.1642,230.5,18.3
177427469.1642,230.5,18.3
177427471.1642,230.5,18.3
177427473.1642,230.5,18.3
177427475.1642,230.5,18.3
177427477.1642,230.5,18.3
177427479.1642,230.5,18.3
177427481.1642,230.5,18.3
177427483.1642,230.5,18.3
177427485.1642,230.5,18.3
177427487.1642,230.5,18.3
177427489.1642,230.5,18.3
177427491.1642,230.5,18.3
177427493.1642,230.5,18.3
177427495.1642,230.5,18.3
177427497.1642,230.5,18.3
177427499.1642,230.5,18.3
177427501.1642,230.5,18.3
177427503.1642,230.5,18.3
177427505.1642,230.5,18.3
177427507.1642,230.5,18.3
177427509.1642,230.5,18.3
177427511.1642,230.5,18.3
177427513.1642,230.5,18.3
177427515.1642,230.5,18.3
177427517.1642,230.5,18.3
177427519.1642,230.5,18.3
177427521.1642,230.5,18.3
177427523.1642,230.5,18.3
177427525.1642,230.5,18.3
177427527.1642,230.5,18.3
177427529.1642,230.5,18.3
177427531.1642,230.5,18.3
177427533.1642,230.5,18.3
177427535.1642,230.5,18.3
