Čas (Index),Buy_Price,Sell_Price,Sloupec_3,Sloupec_4,Sloupec_5,Sloupec_6
177427147.1721,1282.3000000000009,1206.6999999999998,3347808,1439171,6236166,30288348
177427149.1721,1282.3000000000009,1206.6999999999998,3347808,1439171,6236166,30288348
177427151.1721,1282.3000000000009,1206.6999999999998,3347808,1439013,6236166,30288506
177427153.1721,1282.3000000000009,1206.6999999999998,3347808,1438651,6236166,30288868
177427155.1721,1282.3000000000009,1206.6999999999998,3347808,1438489,6236166,30289030
177427157.1721,1282.3000000000009,1206.6999999999998,3347808,1438041,6236166,30289478
177427159.1721,1282.200000000001,1206.6999999999998,3347808,1437993,6236166,30289526
177427161.1721,1282.200000000001,1206.6999999999998,3347878,1437993,6236190,30289526
177427163.1721,1282.200000000001,1206.6999999999998,3347878,1437068,6236190,30290451
177427165.1721,1282.200000000001,1206.6999999999998,3347878,1436885,6236190,30290634
177427167.1721,1282.200000000001,1206.6999999999998,3347878,1436693,6236190,30290826
177427169.1721,1282.200000000001,1206.6999999999998,3347878,1436375,6236190,30291144
177427171.1721,1282.200000000001,1206.6999999999998,3347878,1436366,6236190,30291153
177427173.1721,1282.200000000001,1206.6999999999998,3347878,1436267,6236190,30291252
177427175.1721,1282.200000000001,1206.6999999999998,3347878,1436250,6236190,30291269
177427177.1721,1282.200000000001,1206.6999999999998,3347877,1436250,6236191,30291269
177427179.1721,1282.200000000001,1206.6999999999998,3347877,1436169,6236191,30291350
177427181.1721,1282.200000000001,1206.6999999999998,3347877,1436169,6236191,30291350
177427183.1721,1282.200000000001,1206.6999999999998,3347877,1436034,6236191,30291485
177427185.1721,1282.200000000001,1206.6999999999998,3347877,1435993,6236191,30291526
177427187.1721,1282.200000000001,1206.6999999999998,3347877,1435814,6236191,30291705
177427189.1721,1282.200000000001,1206.6999999999998,3347877,1435629,6236191,30291890
177427191.1721,1282.200000000001,1206.6,3347877,1435377,6236191,30292142
177427193.1721,1282.200000000001,1206.6,3347877,1379548,6236191,30347971
177427195.1721,1282.200000000001,1206.6,3347877,1379404,6236191,30348115
177427197.1721,1282.200000000001,1206.6,3347877,1379400,6236191,30348119
177427199.2721,1282.500000000001,1206.6,3347365,1379265,6236703,30348254
177427201.2721,1282.500000000001,1206.6,3347365,1378475,6236703,30349044
177427203.2721,1282.500000000001,1206.6999999999998,3347365,1378475,6236703,30349044
177427205.2721,1282.500000000001,1206.6999999999998,3347365,1449386,6236703,30349813
177427207.2721,1282.500000000001,1206.6999999999998,3347365,1449386,6236703,30349813
177427209.2721,1282.500000000001,1206.6999999999998,3347365,1448898,6236703,30350301
177427211.2721,1282.400000000001,1206.6999999999998,3347365,1448898,6236703,30350301
177427213.2721,1282.400000000001,1206.6999999999998,3348101,1448898,6236703,30350301
177427215.2721,1282.300000000001,1206.6999999999998,3348229,1447450,6236703,30351749
177427217.2721,1282.300000000001,1206.6999999999998,3348229,1447371,6236703,30351828
177427219.2721,1282.2000000000012,1206.6999999999998,3348252,1447003,6236703,30352196
177427221.2721,1282.2000000000012,1206.6999999999998,3348252,1440706,6225492,30309065
177427223.2721,1282.2000000000012,1206.6999999999998,3348252,1440591,6225492,30309180
177427225.2721,1282.2000000000012,1206.6999999999998,3348252,1440591,6225492,30309180
177427227.2721,1282.2000000000012,1206.6999999999998,3348252,1440425,6225492,30309346
177427229.2721,1282.1000000000013,1206.6999999999998,3348252,1439292,6225492,30310479
177427231.2721,1282.1000000000013,1206.6999999999998,3348336,1437869,6225492,30311902
177427233.2721,1282.1000000000013,1206.6999999999998,3348336,1437869,6225492,30311902
177427235.2721,1282.1000000000013,1206.6999999999998,3348336,1437517,6225492,30312254
177427237.2721,1282.0000000000014,1206.6999999999998,3348336,1436371,6225492,30313400
177427239.2721,1282.0000000000014,1206.6999999999998,3348516,1435737,6225492,30314034
177427241.2721,1282.5000000000014,1206.6999999999998,3348516,1435435,6225492,30314336
177427243.2721,1282.4000000000015,1206.6999999999998,3346468,1435159,6227540,30314612
177427245.2721,1282.4000000000015,1206.6999999999998,3346604,1433638,6227540,30316133
177427247.2721,1282.4000000000015,1206.6999999999998,3346454,1432742,6227733,30317029
177427249.2721,1282.5000000000014,1206.6999999999998,3346390,1432495,6227797,30317276
177427251.2721,1282.5000000000014,1206.6999999999998,3346326,1431987,6227861,30317784
177427253.2721,1282.5000000000014,1206.6999999999998,3346262,1431646,6227925,30318125
177427255.2721,1282.5000000000014,1206.6999999999998,3346262,1429248,6227925,30320523
177427257.2721,1282.5000000000014,1206.6999999999998,3346262,1429100,6227925,30320671
177427259.2721,1282.5000000000014,1206.6999999999998,3346262,1428575,6227925,30321196
177427261.2721,1282.5000000000014,1206.6999999999998,3346261,1428554,6227926,30321217
177427263.2721,1282.5000000000014,1206.6999999999998,3346053,1428536,6228134,30321235
177427265.2721,1282.5000000000014,1206.6999999999998,3346053,1428055,6228134,30321716
177427267.2721,1282.5000000000014,1206.6999999999998,3346053,1427719,6228134,30322052
177427269.2721,1282.5000000000014,1206.6999999999998,3346053,1427591,6228134,30322180
177427271.2721,1282.5000000000014,1206.6999999999998,3346047,1427364,6228140,30322407
177427273.2721,1282.5000000000014,1206.6999999999998,3346047,1427251,6228140,30322520
177427275.2721,1282.5000000000014,1206.6999999999998,3346047,1427234,6228140,30322537
177427277.2721,1282.5000000000014,1206.6999999999998,3346047,1426692,6228140,30323079
177427279.2721,1282.5000000000014,1206.6999999999998,3346039,1426564,6228148,30323207
177427281.2721,1282.5000000000014,1206.6999999999998,3346039,1422949,6228148,30326822
177427283.2721,1282.5000000000014,1206.6999999999998,3346039,1422850,6228148,30326921
177427285.2721,1282.5000000000014,1206.6999999999998,3346039,1422442,6228148,30327329
177427287.2721,1282.5000000000014,1206.6999999999998,3345719,1422221,6228468,30327550
177427289.2721,1282.5000000000014,1206.6999999999998,3345711,1420123,6228476,30329648
177427291.2721,1282.5000000000014,1206.6999999999998,3345711,1418460,6228476,30331311
177427293.2721,1282.5000000000014,1206.6999999999998,3345711,1418271,6228476,30331500
177427295.2721,1282.5000000000014,1206.6999999999998,3345711,1418026,6228476,30331745
177427297.2721,1282.5000000000014,1206.6999999999998,3345711,1417930,6228476,30331841
177427299.2721,1282.5000000000014,1206.6999999999998,3345711,1417894,6228476,30331877
177427301.2721,1282.5000000000014,1206.6999999999998,3345711,1417699,6228476,30332072
177427303.2721,1282.5000000000014,1206.6999999999998,3345711,1417673,6228476,30332098
177427305.2721,1282.5000000000014,1206.6999999999998,3345711,1417221,6228476,30332550
177427307.2721,1282.5000000000014,1206.6999999999998,3345711,1417221,6228476,30332550
177427309.2721,1282.5000000000014,1206.6999999999998,3345711,1416840,6228476,30332931
177427311.2721,1282.5000000000014,1206.6999999999998,3345711,1415769,6228476,30334002
177427313.2721,1282.5000000000014,1206.6999999999998,3345711,1415052,6228476,30334719
177427315.2721,1282.5000000000014,1206.6999999999998,3345711,1414749,6228476,30335022
177427317.2721,1282.5000000000014,1206.6999999999998,3345711,1414659,6228476,30335112
177427319.2721,1282.5000000000014,1206.6999999999998,3345711,1413536,6228476,30336235
177427321.2721,1282.5000000000014,1206.6999999999998,3345710,1413252,6228477,30336519
177427323.2721,1282.5000000000014,1206.6999999999998,3345710,1412934,6228477,30336837
177427325.2721,1282.5000000000014,1206.6999999999998,3345710,1411004,6228477,30338767
177427327.2721,1282.5000000000014,1206.6999999999998,3345710,1411160,6228477,30338771
177427329.2721,1282.5000000000014,1206.6999999999998,3345710,1410796,6228477,30339135
177427331.2721,1282.5000000000014,1206.6999999999998,3345710,1410068,6228477,30339863
177427333.2721,1282.5000000000014,1206.7999999999997,3345710,1411044,6228477,30340167
177427335.2721,1282.5000000000014,1206.7999999999997,3345710,1411044,6228477,30340167
177427337.2721,1282.5000000000014,1206.7999999999997,3345710,1410678,6228477,30340533
177427339.2721,1282.5000000000014,1206.7999999999997,3345710,1410334,6228477,30340877
177427341.2721,1282.5000000000014,1206.8999999999996,3345710,1410305,6228477,30340906
